DC0000000	['奥斯特公司。', '葛兰素史克加拿大公司', '许昌振德外科敷料有限公司。', '麦肯齐体育用品有限责任公司', '厄普舍史密斯实验室公司。', '普克伦斯配方公司。', '辉瑞制药比利时公司', '克罗格', '创意花园天然产品', 'i3制药有限责任公司', '斯派克特科学实验室公司', 'ONCODERM实验室有限责任公司', 'ZapVir公司。', 'Zydus制药（美国）有限公司。', '德尔金化妆品公司', '美丽建筑师有限责任公司', '圆桥公司', '广州市苍天生物科技有限公司。', '医疗科技产品公司。', '云雀Cmc']
DC0000474	['阿尔维斯实验室', '阿芙罗松有限公司', 'E.Fougera and Co.，Nycomed US Inc.的子公司。', 'COSCOS有限责任公司', 'Absara化妆品公司。', '内陆供应有限公司。', '医药科学公司', '共同制药公司', '巴斯夫公司。', '赫斯健康公司。', '克雷格·杜拉有限责任公司', '科学美容实验室', '阿尔法化学服务公司', '辛蒂卡萨酒店', '联盟溶剂和化学品公司', '肯塔基科技有限公司。', '华沙化学控股有限责任公司', '生活之井药房有限公司。', 'ALO纽约有限责任公司', '美国格兰马克仿制药公司']
DC0000475	['兰巴西实验室公司', '细胞活化研究所有限公司', '模拟制药公司', '尼维克分销有限责任公司。', 'Frank por Laboratories，S.A.de C.V。', 'Telecotronics起搏系统公司。', '美赞臣营养', '呼吸治疗专家公司。', 'Excellium制药公司。', 'Shionogi B.V。', '余姚市杰西日用品有限公司', 'Innolyzer实验室有限责任公司', 'FRSH汉兹有限公司', '查尔斯涂料研究公司', 'GRB SRL', 'Rohto Mentholatum（越南）有限公司。', '吉威制药有限公司', '产品探索Mff有限责任公司', '惠氏消费者保健公司', 'Regeneron爱尔兰指定活动公司（Dac）']
DC0000476	['Lvmh香水品牌', 'Tbsc有限责任公司', '工业气体分销商公司', '思特焊接供应有限公司。', '你的军事交流', '维塔巴斯公司。', '独特的生物技术。，有限公司', '陶氏制药科学', '生物医药制造公司', '神奇实验室', '南方天然气供应有限责任公司', '联合米德兰公司。', '米斯金有限公司', 'Face Reality护肤有限责任公司', '青蛙雾有限责任公司', '威克化妆品公司。', '供应精神', '普鲁根制药公司', '德斯特实验室公司。', '国家健康实验室有限公司。']
DC0000477	['纳诺威尔制药公司。', '猎鹰安全产品公司。', 'Sera实验室有限公司', '广州佳能生物科技有限公司', '6A控股有限责任公司', '德雷米特斯有限责任公司', '费利克斯山控股有限责任公司', '安妮国际公司', '塞普塔制药公司', '凯姆·克雷斯特有限责任公司', '维生素博士有限责任公司', '呼吸家庭护理解决方案加拿大公司。', 'Ultraceuticals美国有限责任公司', '普鲁斯帕尔玛公司。', '美国医疗产品公司', '佛罗里达Cirtech', '邦德科技公司', 'Rpk制药公司。', 'Altius诊断实验室有限责任公司', 'SMD公司。']
DC0000478	['古尔股份有限公司', '雷迪博士实验室有限公司', '快速护理公司', '雷基特·本奇瑟', '广东安特利生物科技有限公司。', '罗丹&菲尔德酒店', '塞普拉科制药公司', '桑特雷尔国际公司。', 'AKR公司', '莫莫公司。', '华盛顿州立大学', '科赛普疗法', '学校服装店', '达兰·金亚·恩杜斯特里·阿诺尼姆·瑟克蒂', '异性药物有限公司第三单元', '斯蒂拉风格', '提升口腔护理', 'inspira：化妆品有限公司', '欧本环球酒店', 'Balance Plus公司。']
DC0000479	['鲁贝利有限公司', '对美国学校公司来说太酷了', '托卡拉公司。', '萨沃尼萨', '维根医疗', '卢平制药公司', '维纳斯多线有限公司。', '纽卡制药公司，', '强生消费品公司，强生消费品公司的子公司。', '拯救很多食品商店有限公司', 'Supervlau公司', '福瑞科技股份有限公司。', '湿婆实验室', 'Symbomix疗法', '先进生物技术公司', '衣橱有限责任公司', '德姆商店有限责任公司', '深圳市海银鸿业科技有限公司。', 'Liebel Flarsheim有限责任公司', '阿巴维公司。']
DC0000480	['Wsm投资有限责任公司Dba Topco销售', '硅谷公司。', '药物疗法', '氧气清洁', '怀特斯通产品有限公司', '简·马里尼皮肤研究公司', '莫顿盐业公司。', '家之香私人有限公司', '红色婚礼有限责任公司', '诺瓦克斯公司。', '自然配方保健品有限公司。', '阿尔贝托·卡尔弗美国公司', '陆军和空军交换服务', '艾比岛食品有限公司。', '航空燃气公司。', 'Scratch酿酒厂有限责任公司', '塔罗制药美国公司', '艺康', 'Genpharm公司', '生物制药']
DC0000481	['宁波道兰日常健康有限公司。', '医疗产品实验室公司。', '萨雷塔治疗公司。', '首选制药公司，', '人福浦拉盖药业（武汉）有限公司。', 'Xerbal美国有限责任公司', '格兰特县医疗设备有限责任公司', '博斯根公司。', '联合制药公司', '山楂保健有限公司', '家庭医疗与呼吸服务公司', '艾尔格林健康美容店有限责任公司', '美丽自然国际有限公司', '纽约制药集团有限责任公司', '萨默斯实验室', '新炼金术蒸馏有限责任公司。', '阿瓦普科有限责任公司', '亨利·谢恩', '太平洋世界公司', '朱塞夫·雅罗斯拉夫·科尔特斯·罗哈斯']
DC0000482	['医院专科公司', 'Md配方。', '葛兰素史克消费者保健控股（美国）有限责任公司。', '盖尔制药研究公司。', '山东恒发卫生用品有限公司。', '近代化妆品公司。', '皇家港蒸馏公司。', '老东城公司。', '诺维科公司。', 'Lindie Nzie贸易和商业服务', '边疆销售有限责任公司', '赫斯比', 'Humo控股集团有限公司。', '诺伍德化学公司。', 'Unicep包装公司。', 'Genomma实验室美国公司', '独立酒厂', '根尼斯制药公司', '大气清洁公司。', '天津市宝龙包装技术开发有限公司。']
DC0000483	['美德制药', 'Demoulas Super Markets公司。', '普罗旺德私人有限公司', 'Orange Pharmaceuticals USA LLC', '贝尔制药公司', '比蒂酿酒公司。', '法玛西亚公司。', '电信集团有限责任公司', '诺斯特鲁姆实验室公司', '杭州民生滨江制药有限公司。', 'Bio Equiliber有限责任公司', '福托维亚治疗公司。', '浙江凡佳医疗设备有限公司。', '局部药物公司。', '健康供应美国有限责任公司', '天然化妆品公司', '亚马逊。通用域名格式', '美国安信医疗', '热带绿色有机物', '英属医疗技术有限责任公司']
DC0000484	['Thh Acquisition Llc I Dba Total Home Health', '麦克森营养公司。', '默克公司', '瑟拉根公司', '国际生物技术工厂。', 'Aurosal制药有限公司', '赫比昂巴基斯坦私人有限公司。', '菲尼克斯实验室公司。', '阿詹塔制药美国公司。', '亚洲联合生物医学公司', 'B4风险投资有限责任公司', '齐斯蒂卡公司', '热带企业国际公司', 'Nor Lea医院区dba Nor Lea Home Medical', '亨廷顿实验室公司', '化妆品工业公司。', '阿尔法实验室', '亚洲纳米科技有限公司。', 'Vit-E-Men公司', '布莱恩特里实验室公司']
DC0000485	['阿尔康实验室公司。', '梅加科斯制造有限公司。', '索耶产品', '中心制药公司', '库托产品公司', '精英奋斗有限责任公司', '上海科景清洁用品有限公司。', '斯密蒂供应公司。', '生态杯国际公司', '奥丹实验室有限公司。', '爱德公司', 'Velocity制药公司', '罗斯实验室，雅培实验室有限公司分部。', '里维埃拉饮料有限责任公司', '资源一公司', '欧元区贸易伙伴有限责任公司', '医药店', '绿洲健康有限责任公司', '迪桑集团', 'Kerlabs S.a.de C.v。']
DC0000486	['格伦马克仿制药有限公司印度', '高科技制药有限公司。', '维泰瑞娜动物健康有限公司。', '79741', '韦格曼斯', '纳库尔医疗保健有限公司', '洛阳沐春制药有限公司', '国际制药实验室', '益生制药', '需求服务有限公司。', '阿克塔维斯制药公司。', 'Scilex制药公司。', '麦克森（太阳马克）', '广西玉林制药有限公司', '莫伊科联合拉刀', '光谱气体产品公司', '瓦西企业有限责任公司', 'TRUVITALITY有限责任公司', '格林斯通有限责任公司', '真北营养公司。']
DC0000487	['元素品牌公司。', '定制解决方案公司。', '化学工业公司。', '苏拉克斯医疗公司', '西空气气体与设备公司。', '希根制药公司。', '杜拉姆制药公司巴尔实验室分公司', 'Vitalife公司Dba Tabaks健康产品', '全身护理公司', 'Clubroom公司。', '中山市S·简生物科技有限公司。', '打孔机', '联合制药公司。', '智能实践丹麦ApS', '拉尼克。有限公司', '德国劳埃德船级社360', 'RU-21', '开放韩国有限公司', '舍萨姆公司。', '马格处方中心有限责任公司']
DC0000488	['布拉科诊断公司', '巴尔实验室公司。', 'Ambix laboratories div organics corp.美国', '施赖伯食品国际公司。', '安东尼品牌有限责任公司', '泉州百思希望家居用品有限公司。', '厄普舍史密斯实验室公司。', '麦克森', '迈兰医疗保健有限公司', 'TERAECO。，有限公司', '伊夫·罗彻北美公司', '内科医生治疗有限责任公司', '矿物融合天然品牌', '动力单位牙刷公司', '东南阿拉斯加医疗供应商公司。', '施乐制药爱尔兰有限公司', '维斯塔康制药公司', 'L G采购公司。', '凹痕辅助工具', '色彩']
DC0000489	['Skinnies美国公司。', 'Biogen Idec公司。', '电视之星', '支气管Sirum公司。', '希尔化学公司。', 'Altamed制药公司', '太平洋登特国际公司。', 'MDSolarSciences', '生物矿物制药公司', '奥特韦药剂师', 'AQ制药公司。', '梅州聚博纳科技有限公司。', '马萨诸塞州公共卫生生物实验室', 'Glo Med网络公司。', '实验室阿特拉斯公司', '赛诺菲消费者健康公司赛诺菲圣特大公共有限公司', '贝斯特科公司。', '华庭制药', '贝尔斯多夫·乔布斯特加拿大公司。', '圣诞城市精神有限责任公司']
DC0000490	['CV科学公司。', '鹰饮料及配件产品有限责任公司', 'Sisu公司。', '美国化学公司', '粉末制药公司。', '著名化学解决方案有限公司', 'N.O.R.T.H.公司。', '礼来公司', 'Sanimax有限责任公司', '原始补丁公司', '广东泰奥森科技有限公司', 'Havix集团公司d-b-a Aavis Pharmaceuticals', '台湾生物科技股份有限公司。', '桑迪缅因州公司。', '上饶市纯宇科技有限公司', 'ABC技术解决方案公司。', '亿安贸易全球有限公司', '艾斯制药有限公司', 'Aveo制药公司。', '布莱雷实验室']
DC0000491	['威康医疗保健有限公司', '智能塑料', '卓安有限公司。', '概念实验室', '惠氏控股有限责任公司惠氏制药部', '汤普森兄弟用品公司', '在职有限责任公司', 'Epi健康公司', '佐林制药科技（杭州）有限公司。', '银河国际贸易公司', 'Innova4D美国公司', '施维雅（爱尔兰）工业有限公司', '结果RNA有限责任公司', '伊格尔美容有限公司', '罗米洛实验室', 'Pro’s Choice美容护理公司。', 'Lyphomed，Fujisawa Canada Inc.的子公司。', '生态环境', 'Ns制药公司。', '贴纸骡子有限责任公司']
DC0000492	['美容精英集团', '索菲纸制品有限公司', '礼来公司', '凯伦实验室（私人）有限公司', '埃西北美公司。', '青藏元堂生物科技有限公司', '医疗保健制药有限责任公司。', '医疗质量', '法尔麦克公司。', '公式', 'H.B.D.地区公司。', '科雷沃（英国）有限公司', 'Bodysphere有限责任公司', '聊城市超能卫生用品有限公司。', '汕尾比亚迪实业有限公司。', '代顿制药公司', '杰弗里集团有限责任公司', 'Circassia制药公司。', '里姆瑟制药Gmb H', '绿色剪刀公司']
DC0000493	['诺雷兹伊斯梅尔舒克里公司', '巴斯出口服务公司。，有限公司。', '自有产品公司。', 'E.FOUGERA&CO.，Nycomed美国公司的子公司。', '勃林格英格海姆制药有限公司。', 'TAGBUFF公司。', '武田化学工业有限公司', '国际设计集团', 'Pharmaneek公司。', '传统制药公司', '普罗萨菲奥', 'Vvf伊利诺伊服务', '清洁基因有限责任公司', '佩尔迪多健康与健康公司', '广州慈美生物科技有限公司', 'Av Kare公司。', '衢州泽峰进出口有限公司。', 'PARAGON SOLUTIONS美国公司。', '北美格林斯有限责任公司', 'Handi Vue有限责任公司']
DC0000494	['义乌市洁益清洁用品有限公司', '密码制药公司。', '一氧化二氮', 'PCAS芬兰Oy', '救世主生命科技公司', 'ASCEND Therapeutics U.S.，LLC', '认知科学公司', 'J-Tech数字公司', 'VGYAAN制药有限责任公司', '劳伦·康拉德美容公司。', 'L.Molteni&C.Dei Fratelli Alitti SocietáDi Esercizio S.P.A。', '克利伯分销有限责任公司', '下一代', '异性药物有限公司第三单元', '成为更好的网络', '千禧制药公司。', 'Dista products co div礼来公司', '辉瑞加拿大公司，消费者保健部门', '整洁无纺布私人有限公司', '德克萨斯州Iws天然气和供应有限公司']
DC0000495	['马克斯·胡伯研究实验室有限公司。', 'EUnited Laboratories中心标签机名称', '新形象烛光有限公司。', '埃斯卡科技公司。', '萨金特·阿吉拉', '德尔法姆蒙特利尔公司。', 'Synthon制药公司。', '瑞士草药有限公司。', '阿尔卑斯工业', '合成代谢公司', '海力士制药', 'Snt批发公司。', '医学免疫公司。', '服务机构', '大自然', '大量的美丽', '艾伯森公司', 'Topco Associates LLC。', '苹果家庭护理协会。', 'AKKIM YAPI KIMYASALLARI SANAYI已经为ANONIM SIRKETI做了准备']
DC0000496	['弗洛里·罗伯茨公司。', '卡兹公司', '阿克顿制药公司。', '美国化妆品公司。', 'KDC\\/one燕子场有限公司', '韦恩制药公司', '阿尔切姆国际私人有限公司', '阿玛塔人寿保险股份有限公司。', '点击产品有限责任公司', '格伦马克仿制药有限公司。', 'Cmi化妆品制造商公司', '特瓦加拿大有限公司', '深圳斯莫尔科技有限公司', 'ASP全球有限责任公司', '索马集团有限责任公司', '瓶装手套公司', '巴西工业公司的年龄。', '凯疗法有限责任公司', '皮肤病', '维森贸易']
